regimen_id,regimen_name,source_component_count,projected_component_count,projected_components_json,excluded_components_json,added_lexical_components_json,explicit_missing_curated_components_json,benchmark_eligible,reason
80,adt and bicalutamide,1,0,[],"[""bicalutamide""]",[],[],false,fewer_than_two_direct_lexical_components
81,adt and darolutamide,1,0,[],"[""Darolutamide""]",[],[],false,fewer_than_two_direct_lexical_components
82,adt and docetaxel,2,0,[],"[""bicalutamide"",""Docetaxel""]",[],[],false,fewer_than_two_direct_lexical_components
83,adt and enzalutamide,1,0,[],"[""Enzalutamide""]",[],[],false,fewer_than_two_direct_lexical_components
84,adt and flutamide,1,0,[],"[""flutamide""]",[],[],false,fewer_than_two_direct_lexical_components
85,adt and nilutamide,1,0,[],"[""nilutamide""]",[],[],false,fewer_than_two_direct_lexical_components
86,adt and rt,2,0,[],"[""bicalutamide"",""flutamide""]",[],[],false,fewer_than_two_direct_lexical_components
87,"adt, darolutamide, docetaxel",2,2,"[""Darolutamide"",""Docetaxel""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
88,"adt, enzalutamide, talazoparib",2,2,"[""Enzalutamide"",""Talazoparib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
89,afatinib and bevacizumab,2,2,"[""Afatinib"",""Bevacizumab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
90,afatinib and cetuximab,2,2,"[""Afatinib"",""Cetuximab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
91,afatinib and paclitaxel,2,2,"[""Afatinib"",""Paclitaxel""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
92,afatinib monotherapy,1,0,[],"[""Afatinib""]",[],[],false,fewer_than_two_direct_lexical_components
93,aie,6,0,[],"[""Carboplatin"",""Etoposide"",""Idarubicin"",""Ifosfamide"",""Mesna"",""mitoxantrone""]",[],[],false,fewer_than_two_direct_lexical_components
94,alectinib monotherapy,1,0,[],"[""Alectinib""]",[],[],false,fewer_than_two_direct_lexical_components
95,alemtuzumab and methylprednisolone,1,0,[],"[""alemtuzumab""]",[],"[""Methylprednisolone""]",false,explicit_curated_component_missing_from_uotd_links
96,alemtuzumab and rituximab,2,2,"[""alemtuzumab"",""Rituximab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
97,alemtuzumab monotherapy,1,0,[],"[""alemtuzumab""]",[],[],false,fewer_than_two_direct_lexical_components
98,alitretinoin monotherapy,1,0,[],"[""alitretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
99,alomad,5,0,[],"[""Chlorambucil"",""Dacarbazine"",""dactinomycin"",""Methotrexate"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
100,alpelisib and fulvestrant,2,2,"[""alpelisib"",""Fulvestrant""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
101,altretamine and cisplatin (hd),2,2,"[""altretamine"",""Cisplatin""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
102,altretamine monotherapy,1,0,[],"[""altretamine""]",[],[],false,fewer_than_two_direct_lexical_components
103,aminoglutethimide monotherapy,1,0,[],"[""aminoglutethimide""]",[],[],false,fewer_than_two_direct_lexical_components
104,amivantamab monotherapy,1,0,[],"[""amivantamab""]",[],[],false,fewer_than_two_direct_lexical_components
105,amoxicillin and omemprazole,2,0,[],"[""amoxicillin"",""Omeprazole""]",[],[],false,fewer_than_two_direct_lexical_components
106,"amoxicillin, clarithromycin, ppi, bismuth",3,2,"[""amoxicillin"",""clarithromycin""]","[""Omeprazole""]",[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
107,amrubicin monotherapy,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
108,amsacrine and hidac,2,0,[],"[""amsacrine"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
109,anagrelide monotherapy,1,0,[],"[""anagrelide""]",[],[],false,fewer_than_two_direct_lexical_components
110,anakinra monotherapy,1,0,[],"[""anakinra""]",[],[],false,fewer_than_two_direct_lexical_components
111,anastrozole and fulvestrant,2,2,"[""Anastrozole"",""Fulvestrant""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
112,anastrozole and goserelin,2,2,"[""Anastrozole"",""Goserelin""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
113,anastrozole and palbociclib,2,2,"[""Anastrozole"",""Palbociclib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
114,anastrozole and ribociclib,3,2,"[""Anastrozole"",""Ribociclib""]","[""Goserelin""]",[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
115,anastrozole and trastuzumab,2,2,"[""Anastrozole"",""Trastuzumab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
116,anastrozole monotherapy,1,0,[],"[""Anastrozole""]",[],[],false,fewer_than_two_direct_lexical_components
117,"anastrozole, goserelin, palbociclib",3,3,"[""Anastrozole"",""Goserelin"",""Palbociclib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
118,"anastrozole, lapatinib, trastuzumab",3,3,"[""Anastrozole"",""lapatinib"",""Trastuzumab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
119,anlotinib monotherapy,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
120,apalutamide monotherapy,1,0,[],"[""Apalutamide""]",[],[],false,fewer_than_two_direct_lexical_components
121,apatinib and camrelizumab,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
122,apatinib and gefitinib,1,0,[],"[""Gefitinib""]",[],[],false,fewer_than_two_direct_lexical_components
123,apatinib monotherapy,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
124,apixaban monotherapy,1,0,[],"[""apixaban""]",[],[],false,fewer_than_two_direct_lexical_components
125,apo,1,0,[],"[""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
126,apo regimen,2,0,[],"[""Methotrexate"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
127,ara-c + dnr + pred + mp,1,0,[],"[""Mercaptopurine""]",[],[],false,fewer_than_two_direct_lexical_components
128,ara-c-hu,1,0,[],"[""Hydroxyurea""]",[],[],false,fewer_than_two_direct_lexical_components
129,ara-c/mtx,2,0,[],"[""Filgrastim"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
130,argatroban monotherapy,1,0,[],"[""argatroban""]",[],[],false,fewer_than_two_direct_lexical_components
131,arsenic trioxide and atra,2,0,[],"[""Arsenic Trioxide"",""Tretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
132,arsenic trioxide and chlorambucil,2,2,"[""Arsenic Trioxide"",""Chlorambucil""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
133,arsenic trioxide and idarubicin,2,2,"[""Arsenic Trioxide"",""Idarubicin""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
134,arsenic trioxide monotherapy,1,0,[],"[""Arsenic Trioxide""]",[],[],false,fewer_than_two_direct_lexical_components
135,"arsenic trioxide, atra, gemtuzumab ozogamicin",3,2,"[""Arsenic Trioxide"",""gemtuzumab ozogamicin""]","[""Tretinoin""]",[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
136,"arsenic trioxide, atra, idarubicin",3,2,"[""Arsenic Trioxide"",""Idarubicin""]","[""Tretinoin""]",[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
137,arsenic trioxide-atra and daunorubicin,2,0,[],"[""Arsenic Trioxide"",""Tretinoin""]",[],"[""Daunorubicin""]",false,explicit_curated_component_missing_from_uotd_links
138,asciminib monotherapy,1,0,[],"[""asciminib""]",[],[],false,fewer_than_two_direct_lexical_components
139,ashap,1,0,[],"[""Cisplatin""]",[],[],false,fewer_than_two_direct_lexical_components
140,ashap/m-bacos,5,0,[],"[""Bleomycin"",""Cisplatin"",""Cyclophosphamide"",""Methotrexate"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
141,aspametdex,2,0,[],"[""Asparaginase"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
142,aspirin and anagrelide,2,0,[],"[""anagrelide"",""ascorbic acid""]",[],"[""Aspirin""]",false,explicit_curated_component_missing_from_uotd_links
143,aspirin and hydroxyurea,1,0,[],"[""Hydroxyurea""]",[],"[""Aspirin""]",false,explicit_curated_component_missing_from_uotd_links
144,aspirin and warfarin,2,0,[],"[""ascorbic acid"",""warfarin""]",[],"[""Aspirin""]",false,explicit_curated_component_missing_from_uotd_links
145,aspirin monotherapy,1,0,[],"[""ascorbic acid""]",[],"[""Aspirin""]",false,explicit_curated_component_missing_from_uotd_links
146,at-cmf,4,0,[],"[""Cyclophosphamide"",""Fluorouracil"",""Methotrexate"",""Paclitaxel""]",[],[],false,fewer_than_two_direct_lexical_components
147,atezolizumab and bevacizumab,2,2,"[""Atezolizumab"",""Bevacizumab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
148,atezolizumab monotherapy,1,0,[],"[""Atezolizumab""]",[],[],false,fewer_than_two_direct_lexical_components
149,atg (horse) and cyclosporine,1,0,[],"[""cyclosporine""]",[],[],false,fewer_than_two_direct_lexical_components
150,atg (horse) monotherapy,1,0,[],"[""lymphocyte immune globulin, anti-thymocyte globulin""]",[],[],false,fewer_than_two_direct_lexical_components
151,"atg (horse), cyclosporine, eltrombopag",2,2,"[""cyclosporine"",""eltrombopag""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
152,"atg (horse), cyclosporine, g-csf",3,0,[],"[""cyclosporine"",""Filgrastim"",""lenograstim""]",[],[],false,fewer_than_two_direct_lexical_components
153,"atg (horse), cyclosporine, sirolimus",2,2,"[""cyclosporine"",""sirolimus""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
154,atg (rabbit) and cyclosporine,2,0,[],"[""cyclosporine"",""lymphocyte immune globulin, anti-thymocyte globulin""]",[],[],false,fewer_than_two_direct_lexical_components
155,atra (263),2,0,[],"[""gemtuzumab ozogamicin"",""Tretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
156,atra and danazol,2,0,[],"[""danazol"",""Tretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
157,atra and daunorubicin,1,0,[],"[""Tretinoin""]",[],"[""Daunorubicin""]",false,explicit_curated_component_missing_from_uotd_links
158,atra and idarubicin,2,0,[],"[""Idarubicin"",""Tretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
159,atra monotherapy,1,0,[],"[""Tretinoin""]",[],[],false,fewer_than_two_direct_lexical_components
160,"atra, cytarabine, daunorubicin",1,0,[],"[""Tretinoin""]",[],"[""Cytarabine"",""Daunorubicin""]",false,explicit_curated_component_missing_from_uotd_links
161,"atra, cytarabine, idarubicin",2,0,[],"[""Idarubicin"",""Tretinoin""]",[],"[""Cytarabine""]",false,explicit_curated_component_missing_from_uotd_links
162,"atra, mercaptopurine, methotrexate",3,2,"[""Mercaptopurine"",""Methotrexate""]","[""Tretinoin""]",[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
163,augmented hyper-cvad/ma and asparaginase,4,0,[],"[""Cyclophosphamide"",""Methotrexate"",""pegaspargase"",""Vincristine""]",[],"[""Asparaginase""]",false,explicit_curated_component_missing_from_uotd_links
164,aumolertinib monotherapy,0,0,[],[],[],[],false,fewer_than_two_direct_lexical_components
165,avapritinib monotherapy,1,0,[],"[""avapritinib""]",[],[],false,fewer_than_two_direct_lexical_components
166,avatrombopag monotherapy,1,0,[],"[""avatrombopag""]",[],[],false,fewer_than_two_direct_lexical_components
167,avcf,3,0,[],"[""Cyclophosphamide"",""Fluorouracil"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
168,avd,1,0,[],"[""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
169,avelumab monotherapy,1,0,[],"[""Avelumab""]",[],[],false,fewer_than_two_direct_lexical_components
170,avo,3,0,[],"[""Acalabrutinib"",""Obinutuzumab"",""Venetoclax""]",[],[],false,fewer_than_two_direct_lexical_components
171,axicabtagene ciloleucel monotherapy,1,0,[],"[""axicabtagene ciloleucel""]",[],[],false,fewer_than_two_direct_lexical_components
172,axitinib and avelumab,2,2,"[""Avelumab"",""Axitinib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
173,axitinib and pembrolizumab,2,2,"[""Axitinib"",""Pembrolizumab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
174,axitinib and tace,1,0,[],"[""Axitinib""]",[],[],false,fewer_than_two_direct_lexical_components
175,axitinib and toripalimab,2,2,"[""Axitinib"",""toripalimab""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
176,axitinib monotherapy,1,0,[],"[""Axitinib""]",[],[],false,fewer_than_two_direct_lexical_components
177,azacitidine and gemtuzumab ozogamicin,2,2,"[""Azacitidine"",""gemtuzumab ozogamicin""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
178,azacitidine and ivosidenib,2,2,"[""Azacitidine"",""ivosidenib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
179,azacitidine and lenalidomide,2,2,"[""Azacitidine"",""Lenalidomide""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
180,azacitidine and sorafenib,2,2,"[""Azacitidine"",""Sorafenib""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
181,azacitidine and venetoclax,2,2,"[""Azacitidine"",""Venetoclax""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
182,azacitidine and vorinostat,2,2,"[""Azacitidine"",""vorinostat""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
183,azacitidine monotherapy,1,0,[],"[""Azacitidine""]",[],[],false,fewer_than_two_direct_lexical_components
184,azacitidine oral monotherapy,0,0,[],[],[],"[""Azacitidine""]",false,explicit_curated_component_missing_from_uotd_links
185,"azacitidine, vorinostat, gemtuzumab ozogamicin",3,3,"[""Azacitidine"",""gemtuzumab ozogamicin"",""vorinostat""]",[],[],[],true,at_least_two_direct_components_lexically_grounded_in_regimen_name
186,b-cave,2,0,[],"[""Bleomycin"",""Lomustine""]",[],[],false,fewer_than_two_direct_lexical_components
187,b-dopa,3,0,[],"[""Bleomycin"",""Dacarbazine"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
188,baby pog i protocol,4,0,[],"[""Cisplatin"",""Cyclophosphamide"",""Etoposide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
189,bac,2,0,[],"[""Carmustine"",""Cyclophosphamide""]",[],[],false,fewer_than_two_direct_lexical_components
190,baco,4,0,[],"[""Bleomycin"",""Cyclophosphamide"",""Lomustine"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
191,bacod,3,0,[],"[""Bleomycin"",""Cyclophosphamide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
192,bacon,4,0,[],"[""Bleomycin"",""Lomustine"",""mechlorethamine"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
193,bamon,4,0,[],"[""Bleomycin"",""mechlorethamine"",""Methotrexate"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
194,basic,4,0,[],"[""Cyclophosphamide"",""Methotrexate"",""Rituximab"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
195,bat,2,0,[],"[""atovaquone"",""Enzalutamide""]",[],[],false,fewer_than_two_direct_lexical_components
196,bavip,2,0,[],"[""Bleomycin"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
197,bbd,5,0,[],"[""Bendamustine"",""Bortezomib"",""Carmustine"",""Dacarbazine"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
198,bbvp-m,3,0,[],"[""Bleomycin"",""Carmustine"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
199,bcap,2,0,[],"[""Carmustine"",""Cyclophosphamide""]",[],[],false,fewer_than_two_direct_lexical_components
200,bcave,2,0,[],"[""Bleomycin"",""Lomustine""]",[],[],false,fewer_than_two_direct_lexical_components
201,bcd,3,0,[],"[""Bleomycin"",""Cyclophosphamide"",""dactinomycin""]",[],[],false,fewer_than_two_direct_lexical_components
202,bcg and dacarbazine,2,0,[],"[""bcg, live, tice strain"",""Dacarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
203,bcg vaccine monotherapy,1,0,[],"[""bcg, live, tice strain""]",[],[],false,fewer_than_two_direct_lexical_components
204,bchop,3,0,[],"[""Bortezomib"",""Cyclophosphamide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
205,bcmf,4,0,[],"[""Bleomycin"",""Cyclophosphamide"",""Fluorouracil"",""Methotrexate""]",[],[],false,fewer_than_two_direct_lexical_components
206,bcnu/tt,2,0,[],"[""Carmustine"",""thiotepa""]",[],[],false,fewer_than_two_direct_lexical_components
207,bcop,3,0,[],"[""Carmustine"",""Cyclophosphamide"",""Vincristine""]",[],[],false,fewer_than_two_direct_lexical_components
208,bcvpp,3,0,[],"[""Carmustine"",""Cyclophosphamide"",""Procarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
209,bcvpp-bleo,4,0,[],"[""Bleomycin"",""Carmustine"",""Cyclophosphamide"",""Procarbazine""]",[],[],false,fewer_than_two_direct_lexical_components
