regimen_name,components_json,regimen_id,projection_method,canonical_regimen_name
arsenic trioxide and chlorambucil,"[""Arsenic Trioxide"",""Chlorambucil""]",132,lexical_name_projection,arsenic trioxide and chlorambucil
arsenic trioxide and idarubicin,"[""Arsenic Trioxide"",""Idarubicin""]",133,lexical_name_projection,arsenic trioxide and idarubicin
"arsenic trioxide, atra, gemtuzumab ozogamicin","[""Arsenic Trioxide"",""gemtuzumab ozogamicin""]",135,lexical_name_projection,"arsenic trioxide, atra, gemtuzumab ozogamicin"
"arsenic trioxide, atra, idarubicin","[""Arsenic Trioxide"",""Idarubicin""]",136,lexical_name_projection,"arsenic trioxide, atra, idarubicin"
atezolizumab and bevacizumab,"[""Atezolizumab"",""Bevacizumab""]",147,lexical_name_projection,atezolizumab and bevacizumab
"atg (horse), cyclosporine, eltrombopag","[""cyclosporine"",""eltrombopag""]",151,lexical_name_projection,"atg (horse), cyclosporine, eltrombopag"
"atg (horse), cyclosporine, sirolimus","[""cyclosporine"",""sirolimus""]",153,lexical_name_projection,"atg (horse), cyclosporine, sirolimus"
"atra, mercaptopurine, methotrexate","[""Mercaptopurine"",""Methotrexate""]",162,lexical_name_projection,"atra, mercaptopurine, methotrexate"
axitinib and avelumab,"[""Avelumab"",""Axitinib""]",172,lexical_name_projection,axitinib and avelumab
axitinib and pembrolizumab,"[""Axitinib"",""Pembrolizumab""]",173,lexical_name_projection,axitinib and pembrolizumab
axitinib and toripalimab,"[""Axitinib"",""toripalimab""]",175,lexical_name_projection,axitinib and toripalimab
azacitidine and gemtuzumab ozogamicin,"[""Azacitidine"",""gemtuzumab ozogamicin""]",177,lexical_name_projection,azacitidine and gemtuzumab ozogamicin
azacitidine and ivosidenib,"[""Azacitidine"",""ivosidenib""]",178,lexical_name_projection,azacitidine and ivosidenib
azacitidine and lenalidomide,"[""Azacitidine"",""Lenalidomide""]",179,lexical_name_projection,azacitidine and lenalidomide
azacitidine and sorafenib,"[""Azacitidine"",""Sorafenib""]",180,lexical_name_projection,azacitidine and sorafenib
azacitidine and venetoclax,"[""Azacitidine"",""Venetoclax""]",181,lexical_name_projection,azacitidine and venetoclax
azacitidine and vorinostat,"[""Azacitidine"",""vorinostat""]",182,lexical_name_projection,azacitidine and vorinostat
"azacitidine, vorinostat, gemtuzumab ozogamicin","[""Azacitidine"",""gemtuzumab ozogamicin"",""vorinostat""]",185,lexical_name_projection,"azacitidine, vorinostat, gemtuzumab ozogamicin"
bendamustine and brentuximab vedotin,"[""Bendamustine"",""Brentuximab Vedotin""]",222,lexical_name_projection,bendamustine and brentuximab vedotin
bendamustine and obinutuzumab,"[""Bendamustine"",""Obinutuzumab""]",224,lexical_name_projection,bendamustine and obinutuzumab
bendamustine and ofatumumab,"[""Bendamustine"",""ofatumumab""]",225,lexical_name_projection,bendamustine and ofatumumab
bendamustine and rituximab (br),"[""Bendamustine"",""Rituximab""]",226,lexical_name_projection,bendamustine and rituximab (br)
bendamustine and rituximab (br) and ibrutinib,"[""Bendamustine"",""Ibrutinib"",""Rituximab""]",227,lexical_name_projection,bendamustine and rituximab (br) and ibrutinib
bendamustine and rituximab (br) and idelalisib,"[""Bendamustine"",""Idelalisib"",""Rituximab""]",228,lexical_name_projection,bendamustine and rituximab (br) and idelalisib
bendamustine and rituximab (br) and polatuzumab vedotin,"[""Bendamustine"",""Polatuzumab Vedotin"",""Rituximab""]",229,lexical_name_projection,bendamustine and rituximab (br) and polatuzumab vedotin
bevacizumab and interferon alfa-2a,"[""Bevacizumab"",""interferon alfa-2a""]",236,lexical_name_projection,bevacizumab and interferon alfa-2a
bevacizumab and rituximab,"[""Bevacizumab"",""Rituximab""]",237,lexical_name_projection,bevacizumab and rituximab
bexarotene and pralatrexate,"[""bexarotene"",""pralatrexate""]",240,lexical_name_projection,bexarotene and pralatrexate
bicalutamide and goserelin,"[""bicalutamide"",""Goserelin""]",244,lexical_name_projection,bicalutamide and goserelin
bicalutamide and leuprolide,"[""bicalutamide"",""Leuprolide""]",245,lexical_name_projection,bicalutamide and leuprolide
binimetinib and encorafenib,"[""binimetinib"",""encorafenib""]",249,lexical_name_projection,binimetinib and encorafenib
"binimetinib, encorafenib, cetuximab","[""binimetinib"",""Cetuximab"",""encorafenib""]",251,lexical_name_projection,"binimetinib, encorafenib, cetuximab"
bleomycin and cisplatin,"[""Bleomycin"",""Cisplatin""]",255,lexical_name_projection,bleomycin and cisplatin
bleomycin and vincristine (bo),"[""Bleomycin"",""Vincristine""]",257,lexical_name_projection,bleomycin and vincristine (bo)
bortezomib and cyclophosphamide,"[""Bortezomib"",""Cyclophosphamide""]",266,lexical_name_projection,bortezomib and cyclophosphamide
bortezomib and melphalan,"[""Bortezomib"",""Melphalan""]",269,lexical_name_projection,bortezomib and melphalan
bortezomib and panobinostat,"[""Bortezomib"",""panobinostat""]",270,lexical_name_projection,bortezomib and panobinostat
bortezomib and rituximab (vr),"[""Bortezomib"",""Rituximab""]",273,lexical_name_projection,bortezomib and rituximab (vr)
bortezomib and vorinostat,"[""Bortezomib"",""vorinostat""]",274,lexical_name_projection,bortezomib and vorinostat
brentuximab vedotin and dacarbazine,"[""Brentuximab Vedotin"",""Dacarbazine""]",279,lexical_name_projection,brentuximab vedotin and dacarbazine
brentuximab vedotin and nivolumab,"[""Brentuximab Vedotin"",""Nivolumab""]",280,lexical_name_projection,brentuximab vedotin and nivolumab
busulfan and cyclophosphamide,"[""Busulfan"",""Cyclophosphamide""]",289,lexical_name_projection,busulfan and cyclophosphamide
busulfan and fludarabine,"[""Busulfan"",""fludarabine""]",290,lexical_name_projection,busulfan and fludarabine
busulfan and melphalan,"[""Busulfan"",""Melphalan""]",291,lexical_name_projection,busulfan and melphalan
"busulfan, cyclophosphamide, decitabine, g-csf","[""Busulfan"",""Cyclophosphamide"",""Decitabine""]",293,lexical_name_projection,"busulfan, cyclophosphamide, decitabine, g-csf"
"busulfan, fludarabine, ibritumomab tiuxetan","[""Busulfan"",""fludarabine"",""ibritumomab tiuxetan""]",294,lexical_name_projection,"busulfan, fludarabine, ibritumomab tiuxetan"
"busulfan, fludarabine, ibritumomab tiuxetan, then allo hsct","[""Busulfan"",""fludarabine"",""ibritumomab tiuxetan""]",295,lexical_name_projection,"busulfan, fludarabine, ibritumomab tiuxetan, then allo hsct"
"busulfan, fludarabine, thiotepa","[""Busulfan"",""fludarabine"",""thiotepa""]",296,lexical_name_projection,"busulfan, fludarabine, thiotepa"
"busulfan, fludarabine, thiotepa, then allo hsct","[""Busulfan"",""fludarabine"",""thiotepa""]",297,lexical_name_projection,"busulfan, fludarabine, thiotepa, then allo hsct"
cabozantinib and erlotinib,"[""Cabozantinib"",""Erlotinib""]",312,lexical_name_projection,cabozantinib and erlotinib
cabozantinib and nivolumab,"[""Cabozantinib"",""Nivolumab""]",313,lexical_name_projection,cabozantinib and nivolumab
"cabozantinib, ipilimumab, nivolumab","[""Cabozantinib"",""Ipilimumab"",""Nivolumab""]",315,lexical_name_projection,"cabozantinib, ipilimumab, nivolumab"
capecitabine and bevacizumab,"[""Bevacizumab"",""Capecitabine""]",331,lexical_name_projection,capecitabine and bevacizumab
capecitabine and cisplatin (cx),"[""Capecitabine"",""Cisplatin""]",332,lexical_name_projection,capecitabine and cisplatin (cx)
capecitabine and cisplatin (cx) and cetuximab,"[""Capecitabine"",""Cetuximab"",""Cisplatin""]",333,lexical_name_projection,capecitabine and cisplatin (cx) and cetuximab
capecitabine and cisplatin (cx) and pembrolizumab,"[""Capecitabine"",""Cisplatin"",""Pembrolizumab""]",334,lexical_name_projection,capecitabine and cisplatin (cx) and pembrolizumab
capecitabine and cisplatin (cx) and tislelizumab,"[""Capecitabine"",""Cisplatin"",""tislelizumab""]",335,lexical_name_projection,capecitabine and cisplatin (cx) and tislelizumab
capecitabine and cisplatin (cx) and trastuzumab,"[""Capecitabine"",""Cisplatin"",""Trastuzumab""]",336,lexical_name_projection,capecitabine and cisplatin (cx) and trastuzumab
"capecitabine and cisplatin (cx), pertuzumab, trastuzumab","[""Capecitabine"",""Cisplatin"",""Pertuzumab"",""Trastuzumab""]",337,lexical_name_projection,"capecitabine and cisplatin (cx), pertuzumab, trastuzumab"
capecitabine and docetaxel (tx),"[""Capecitabine"",""Docetaxel""]",338,lexical_name_projection,capecitabine and docetaxel (tx)
capecitabine and erlotinib,"[""Capecitabine"",""Erlotinib""]",339,lexical_name_projection,capecitabine and erlotinib
capecitabine and fulvestrant,"[""Capecitabine"",""Fulvestrant""]",340,lexical_name_projection,capecitabine and fulvestrant
capecitabine and gemcitabine,"[""Capecitabine"",""Gemcitabine""]",341,lexical_name_projection,capecitabine and gemcitabine
capecitabine and ixabepilone,"[""Capecitabine"",""ixabepilone""]",342,lexical_name_projection,capecitabine and ixabepilone
capecitabine and lapatinib,"[""Capecitabine"",""lapatinib""]",343,lexical_name_projection,capecitabine and lapatinib
capecitabine and margetuximab,"[""Capecitabine"",""margetuximab""]",344,lexical_name_projection,capecitabine and margetuximab
capecitabine and mitomycin,"[""Capecitabine"",""Mitomycin""]",345,lexical_name_projection,capecitabine and mitomycin
capecitabine and neratinib,"[""Capecitabine"",""neratinib""]",346,lexical_name_projection,capecitabine and neratinib
capecitabine and oxaliplatin (capeox) and tislelizumab,"[""Capecitabine"",""Oxaliplatin"",""tislelizumab""]",347,lexical_name_projection,capecitabine and oxaliplatin (capeox) and tislelizumab
"capecitabine and paclitaxel, nanoparticle albumin-bound","[""Capecitabine"",""Paclitaxel""]",348,lexical_name_projection,"capecitabine and paclitaxel, nanoparticle albumin-bound"
capecitabine and temozolomide,"[""Capecitabine"",""Temozolomide""]",351,lexical_name_projection,capecitabine and temozolomide
capecitabine and trastuzumab (xh),"[""Capecitabine"",""Trastuzumab""]",352,lexical_name_projection,capecitabine and trastuzumab (xh)
capecitabine and trastuzumab (xh) and tucatinib,"[""Capecitabine"",""Trastuzumab"",""tucatinib""]",353,lexical_name_projection,capecitabine and trastuzumab (xh) and tucatinib
"capecitabine, bevacizumab, trastuzumab","[""Bevacizumab"",""Capecitabine"",""Trastuzumab""]",356,lexical_name_projection,"capecitabine, bevacizumab, trastuzumab"
"capecitabine, carboplatin, paclitaxel, rt","[""Capecitabine"",""Carboplatin"",""Paclitaxel""]",357,lexical_name_projection,"capecitabine, carboplatin, paclitaxel, rt"
"capecitabine, cisplatin, rt","[""Capecitabine"",""Cisplatin""]",358,lexical_name_projection,"capecitabine, cisplatin, rt"
"capecitabine, docetaxel, oxaliplatin, rt","[""Capecitabine"",""Docetaxel"",""Oxaliplatin""]",359,lexical_name_projection,"capecitabine, docetaxel, oxaliplatin, rt"
"capecitabine, docetaxel, rt","[""Capecitabine"",""Docetaxel""]",360,lexical_name_projection,"capecitabine, docetaxel, rt"
"capecitabine, mitomycin, rt","[""Capecitabine"",""Mitomycin""]",361,lexical_name_projection,"capecitabine, mitomycin, rt"
"capecitabine, oxaliplatin, rt","[""Capecitabine"",""Oxaliplatin""]",362,lexical_name_projection,"capecitabine, oxaliplatin, rt"
"capecitabine, paclitaxel, rt","[""Capecitabine"",""Paclitaxel""]",363,lexical_name_projection,"capecitabine, paclitaxel, rt"
"capecitabine, sorafenib, rt","[""Capecitabine"",""Sorafenib""]",364,lexical_name_projection,"capecitabine, sorafenib, rt"
"capeox, pembrolizumab, trastuzumab","[""Pembrolizumab"",""Trastuzumab""]",373,lexical_name_projection,"capeox, pembrolizumab, trastuzumab"
capivasertib and fulvestrant,"[""capivasertib"",""Fulvestrant""]",376,lexical_name_projection,capivasertib and fulvestrant
carboplatin and bevacizumab,"[""Bevacizumab"",""Carboplatin""]",379,lexical_name_projection,carboplatin and bevacizumab
carboplatin and cisplatin,"[""Carboplatin"",""Cisplatin""]",380,lexical_name_projection,carboplatin and cisplatin
carboplatin and cyclophosphamide,"[""Carboplatin"",""Cyclophosphamide""]",381,lexical_name_projection,carboplatin and cyclophosphamide
carboplatin and dacarbazine,"[""Carboplatin"",""Dacarbazine""]",382,lexical_name_projection,carboplatin and dacarbazine
carboplatin and docetaxel,"[""Carboplatin"",""Docetaxel""]",383,lexical_name_projection,carboplatin and docetaxel
carboplatin and etoposide (ce),"[""Carboplatin"",""Etoposide""]",384,lexical_name_projection,carboplatin and etoposide (ce)
carboplatin and etoposide (ce) and atezolizumab,"[""Atezolizumab"",""Carboplatin"",""Etoposide""]",385,lexical_name_projection,carboplatin and etoposide (ce) and atezolizumab
carboplatin and etoposide (ce) and bevacizumab,"[""Bevacizumab"",""Carboplatin"",""Etoposide""]",386,lexical_name_projection,carboplatin and etoposide (ce) and bevacizumab
carboplatin and etoposide (ce) and durvalumab,"[""Carboplatin"",""Durvalumab"",""Etoposide""]",387,lexical_name_projection,carboplatin and etoposide (ce) and durvalumab
carboplatin and etoposide (ce) and pembrolizumab,"[""Carboplatin"",""Etoposide"",""Pembrolizumab""]",388,lexical_name_projection,carboplatin and etoposide (ce) and pembrolizumab
carboplatin and etoposide (ce) and serplulimab,"[""Carboplatin"",""Etoposide""]",389,lexical_name_projection,carboplatin and etoposide (ce) and serplulimab
carboplatin and fluorouracil,"[""Carboplatin"",""Fluorouracil""]",390,lexical_name_projection,carboplatin and fluorouracil
carboplatin and gemcitabine (gcb),"[""Carboplatin"",""Gemcitabine""]",391,lexical_name_projection,carboplatin and gemcitabine (gcb)
carboplatin and gemcitabine (gcb) and atezolizumab,"[""Atezolizumab"",""Carboplatin"",""Gemcitabine""]",392,lexical_name_projection,carboplatin and gemcitabine (gcb) and atezolizumab
carboplatin and gemcitabine (gcb) and bevacizumab,"[""Bevacizumab"",""Carboplatin"",""Gemcitabine""]",393,lexical_name_projection,carboplatin and gemcitabine (gcb) and bevacizumab
carboplatin and gemcitabine (gcb) and durvalumab,"[""Carboplatin"",""Durvalumab"",""Gemcitabine""]",394,lexical_name_projection,carboplatin and gemcitabine (gcb) and durvalumab
carboplatin and gemcitabine (gcb) and paclitaxel,"[""Carboplatin"",""Gemcitabine"",""Paclitaxel""]",395,lexical_name_projection,carboplatin and gemcitabine (gcb) and paclitaxel
carboplatin and gemcitabine (gcb) and pembrolizumab,"[""Carboplatin"",""Gemcitabine"",""Pembrolizumab""]",396,lexical_name_projection,carboplatin and gemcitabine (gcb) and pembrolizumab
carboplatin and gemcitabine/erlotinib,"[""Carboplatin"",""Erlotinib"",""Gemcitabine""]",397,lexical_name_projection,carboplatin and gemcitabine/erlotinib
carboplatin and ifosfamide,"[""Carboplatin"",""Ifosfamide""]",398,lexical_name_projection,carboplatin and ifosfamide
carboplatin and irinotecan,"[""Carboplatin"",""Irinotecan""]",399,lexical_name_projection,carboplatin and irinotecan
carboplatin and paclitaxel (cp) and bevacizumab,"[""Bevacizumab"",""Carboplatin"",""Paclitaxel""]",403,lexical_name_projection,carboplatin and paclitaxel (cp) and bevacizumab
carboplatin and paclitaxel (cp) and camrelizumab,"[""Carboplatin"",""Paclitaxel""]",404,lexical_name_projection,carboplatin and paclitaxel (cp) and camrelizumab
carboplatin and paclitaxel (cp) and cemiplimab,"[""Carboplatin"",""Cemiplimab"",""Paclitaxel""]",405,lexical_name_projection,carboplatin and paclitaxel (cp) and cemiplimab
carboplatin and paclitaxel (cp) and dostarlimab,"[""Carboplatin"",""dostarlimab"",""Paclitaxel""]",406,lexical_name_projection,carboplatin and paclitaxel (cp) and dostarlimab
carboplatin and paclitaxel (cp) and durvalumab,"[""Carboplatin"",""Durvalumab"",""Paclitaxel""]",407,lexical_name_projection,carboplatin and paclitaxel (cp) and durvalumab
carboplatin and paclitaxel (cp) and ipilimumab,"[""Carboplatin"",""Ipilimumab"",""Paclitaxel""]",408,lexical_name_projection,carboplatin and paclitaxel (cp) and ipilimumab
"carboplatin and paclitaxel (cp) and ipilimumab, nivolumab","[""Carboplatin"",""Ipilimumab"",""Nivolumab"",""Paclitaxel""]",409,lexical_name_projection,"carboplatin and paclitaxel (cp) and ipilimumab, nivolumab"
carboplatin and paclitaxel (cp) and nintedanib,"[""Carboplatin"",""nintedanib"",""Paclitaxel""]",410,lexical_name_projection,carboplatin and paclitaxel (cp) and nintedanib
carboplatin and paclitaxel (cp) and nivolumab,"[""Carboplatin"",""Nivolumab"",""Paclitaxel""]",411,lexical_name_projection,carboplatin and paclitaxel (cp) and nivolumab
carboplatin and paclitaxel (cp) and olaparib,"[""Carboplatin"",""Olaparib"",""Paclitaxel""]",412,lexical_name_projection,carboplatin and paclitaxel (cp) and olaparib
carboplatin and paclitaxel (cp) and pembrolizumab,"[""Carboplatin"",""Paclitaxel"",""Pembrolizumab""]",413,lexical_name_projection,carboplatin and paclitaxel (cp) and pembrolizumab
carboplatin and paclitaxel (cp) and penpulimab,"[""Carboplatin"",""Paclitaxel"",""penpulimab""]",414,lexical_name_projection,carboplatin and paclitaxel (cp) and penpulimab
carboplatin and paclitaxel (cp) and rt,"[""Carboplatin"",""Paclitaxel""]",415,lexical_name_projection,carboplatin and paclitaxel (cp) and rt
carboplatin and paclitaxel (cp) and sugemalimab,"[""Carboplatin"",""Paclitaxel""]",416,lexical_name_projection,carboplatin and paclitaxel (cp) and sugemalimab
carboplatin and paclitaxel (cp) and trastuzumab,"[""Carboplatin"",""Paclitaxel"",""Trastuzumab""]",417,lexical_name_projection,carboplatin and paclitaxel (cp) and trastuzumab
"carboplatin and paclitaxel (cp), bevacizumab, nivolumab","[""Bevacizumab"",""Carboplatin"",""Nivolumab"",""Paclitaxel""]",418,lexical_name_projection,"carboplatin and paclitaxel (cp), bevacizumab, nivolumab"
"carboplatin and paclitaxel (cp), bevacizumab, pembrolizumab","[""Bevacizumab"",""Carboplatin"",""Paclitaxel"",""Pembrolizumab""]",419,lexical_name_projection,"carboplatin and paclitaxel (cp), bevacizumab, pembrolizumab"
"carboplatin and paclitaxel (cp), olaparib, durvalumab","[""Carboplatin"",""Durvalumab"",""Olaparib"",""Paclitaxel""]",420,lexical_name_projection,"carboplatin and paclitaxel (cp), olaparib, durvalumab"
carboplatin and teniposide,"[""Carboplatin"",""teniposide""]",423,lexical_name_projection,carboplatin and teniposide
"carboplatin, etoposide, rt","[""Carboplatin"",""Etoposide""]",426,lexical_name_projection,"carboplatin, etoposide, rt"
"carboplatin, fluorouracil, cetuximab","[""Carboplatin"",""Cetuximab"",""Fluorouracil""]",427,lexical_name_projection,"carboplatin, fluorouracil, cetuximab"
"carboplatin, fluorouracil, cetuximab, rt","[""Carboplatin"",""Cetuximab"",""Fluorouracil""]",428,lexical_name_projection,"carboplatin, fluorouracil, cetuximab, rt"
"carboplatin, fluorouracil, pembrolizumab","[""Carboplatin"",""Fluorouracil"",""Pembrolizumab""]",429,lexical_name_projection,"carboplatin, fluorouracil, pembrolizumab"
"carboplatin, fluorouracil, rt","[""Carboplatin"",""Fluorouracil""]",430,lexical_name_projection,"carboplatin, fluorouracil, rt"
"carboplatin, lazertinib, pemetrexed, amivantamab","[""amivantamab"",""Carboplatin"",""lazertinib"",""Pemetrexed""]",431,lexical_name_projection,"carboplatin, lazertinib, pemetrexed, amivantamab"
"carboplatin, osimertinib, pemetrexed","[""Carboplatin"",""Osimertinib"",""Pemetrexed""]",436,lexical_name_projection,"carboplatin, osimertinib, pemetrexed"
"carboplatin, pemetrexed, amivantamab","[""amivantamab"",""Carboplatin"",""Pemetrexed""]",438,lexical_name_projection,"carboplatin, pemetrexed, amivantamab"
"carboplatin, pemetrexed, atezolizumab","[""Atezolizumab"",""Carboplatin"",""Pemetrexed""]",439,lexical_name_projection,"carboplatin, pemetrexed, atezolizumab"
"carboplatin, pemetrexed, bevacizumab","[""Bevacizumab"",""Carboplatin"",""Pemetrexed""]",440,lexical_name_projection,"carboplatin, pemetrexed, bevacizumab"
"carboplatin, pemetrexed, camrelizumab","[""Carboplatin"",""Pemetrexed""]",441,lexical_name_projection,"carboplatin, pemetrexed, camrelizumab"
"carboplatin, pemetrexed, cemiplimab","[""Carboplatin"",""Cemiplimab"",""Pemetrexed""]",442,lexical_name_projection,"carboplatin, pemetrexed, cemiplimab"
"carboplatin, pemetrexed, durvalumab","[""Carboplatin"",""Durvalumab"",""Pemetrexed""]",443,lexical_name_projection,"carboplatin, pemetrexed, durvalumab"
"carboplatin, pemetrexed, ipilimumab, nivolumab","[""Carboplatin"",""Ipilimumab"",""Nivolumab"",""Pemetrexed""]",444,lexical_name_projection,"carboplatin, pemetrexed, ipilimumab, nivolumab"
"carboplatin, pemetrexed, pembrolizumab","[""Carboplatin"",""Pembrolizumab"",""Pemetrexed""]",445,lexical_name_projection,"carboplatin, pemetrexed, pembrolizumab"
"carboplatin, pemetrexed, sintilimab","[""Carboplatin"",""Pemetrexed""]",446,lexical_name_projection,"carboplatin, pemetrexed, sintilimab"
"carboplatin, pemetrexed, sugemalimab","[""Carboplatin"",""Pemetrexed""]",447,lexical_name_projection,"carboplatin, pemetrexed, sugemalimab"
"carboplatin, pemetrexed, tislelizumab","[""Carboplatin"",""Pemetrexed"",""tislelizumab""]",448,lexical_name_projection,"carboplatin, pemetrexed, tislelizumab"
"carboplatin, vinorelbine, rt","[""Carboplatin"",""Vinorelbine""]",449,lexical_name_projection,"carboplatin, vinorelbine, rt"
carfilzomib and lenalidomide (kr),"[""Carfilzomib"",""Lenalidomide""]",452,lexical_name_projection,carfilzomib and lenalidomide (kr)
carfilzomib and panobinostat,"[""Carfilzomib"",""panobinostat""]",453,lexical_name_projection,carfilzomib and panobinostat
celecoxib and methotrexate,"[""celecoxib"",""Methotrexate""]",475,lexical_name_projection,celecoxib and methotrexate
"celecoxib, erlotinib, methotrexate","[""celecoxib"",""Erlotinib"",""Methotrexate""]",476,lexical_name_projection,"celecoxib, erlotinib, methotrexate"
"celecoxib, erlotinib, methotrexate, nivolumab","[""celecoxib"",""Erlotinib"",""Methotrexate"",""Nivolumab""]",477,lexical_name_projection,"celecoxib, erlotinib, methotrexate, nivolumab"
cev (carboplatin/etoposide),"[""Carboplatin"",""Etoposide""]",487,lexical_name_projection,cev (carboplatin/etoposide)
chlorambucil and cisplatin,"[""Chlorambucil"",""Cisplatin""]",503,lexical_name_projection,chlorambucil and cisplatin
chlorambucil and obinutuzumab (gclb),"[""Chlorambucil"",""Obinutuzumab""]",504,lexical_name_projection,chlorambucil and obinutuzumab (gclb)
chlorambucil and ofatumumab,"[""Chlorambucil"",""ofatumumab""]",505,lexical_name_projection,chlorambucil and ofatumumab
chlorambucil and rituximab (rclb),"[""Chlorambucil"",""Rituximab""]",508,lexical_name_projection,chlorambucil and rituximab (rclb)
"chlorambucil, dactinomycin, methotrexate","[""Chlorambucil"",""dactinomycin"",""Methotrexate""]",510,lexical_name_projection,"chlorambucil, dactinomycin, methotrexate"
cisplatin and bevacizumab,"[""Bevacizumab"",""Cisplatin""]",534,lexical_name_projection,cisplatin and bevacizumab
cisplatin and cetuximab,"[""Cetuximab"",""Cisplatin""]",535,lexical_name_projection,cisplatin and cetuximab
cisplatin and dacarbazine,"[""Cisplatin"",""Dacarbazine""]",536,lexical_name_projection,cisplatin and dacarbazine
cisplatin and docetaxel (dc) and durvalumab,"[""Cisplatin"",""Docetaxel"",""Durvalumab""]",537,lexical_name_projection,cisplatin and docetaxel (dc) and durvalumab
cisplatin and docetaxel (dc) and nivolumab,"[""Cisplatin"",""Docetaxel"",""Nivolumab""]",538,lexical_name_projection,cisplatin and docetaxel (dc) and nivolumab
cisplatin and epirubicin,"[""Cisplatin"",""Epirubicin""]",539,lexical_name_projection,cisplatin and epirubicin
cisplatin and etoposide (ep) and bevacizumab,"[""Bevacizumab"",""Cisplatin"",""Etoposide""]",540,lexical_name_projection,cisplatin and etoposide (ep) and bevacizumab
cisplatin and etoposide (ep) and durvalumab,"[""Cisplatin"",""Durvalumab"",""Etoposide""]",541,lexical_name_projection,cisplatin and etoposide (ep) and durvalumab
cisplatin and etoposide (ep) and pembrolizumab,"[""Cisplatin"",""Etoposide"",""Pembrolizumab""]",542,lexical_name_projection,cisplatin and etoposide (ep) and pembrolizumab
cisplatin and fluorouracil (cf),"[""Cisplatin"",""Fluorouracil""]",543,lexical_name_projection,cisplatin and fluorouracil (cf)
cisplatin and fluorouracil (cf) and cetuximab,"[""Cetuximab"",""Cisplatin"",""Fluorouracil""]",544,lexical_name_projection,cisplatin and fluorouracil (cf) and cetuximab
"cisplatin and fluorouracil (cf) and hydroxyurea, rt","[""Cisplatin"",""Fluorouracil"",""Hydroxyurea""]",545,lexical_name_projection,"cisplatin and fluorouracil (cf) and hydroxyurea, rt"
cisplatin and fluorouracil (cf) and nivolumab,"[""Cisplatin"",""Fluorouracil"",""Nivolumab""]",546,lexical_name_projection,cisplatin and fluorouracil (cf) and nivolumab
cisplatin and fluorouracil (cf) and panitumumab,"[""Cisplatin"",""Fluorouracil"",""Panitumumab""]",547,lexical_name_projection,cisplatin and fluorouracil (cf) and panitumumab
