condition_id,condition_name,regimen_id,source_id,regimen_name
238,aplastic anemia,153,1,"atg (horse), cyclosporine, sirolimus"
250,autologous hsct,269,1,bortezomib and melphalan
253,autologous hsct,289,1,busulfan and cyclophosphamide
254,autologous hsct,291,1,busulfan and melphalan
255,autologous hsct,338,1,capecitabine and docetaxel (tx)
261,autologous hsct,775,1,"cyclophosphamide, etoposide, tbi"
293,b-cell acute lymphoblastic leukemia,860,1,dasatinib and blinatumomab
317,b-cell acute lymphoblastic leukemia,1425,1,l-asparaginase and methotrexate
321,b-cell acute lymphoblastic leukemia,1546,1,mercaptopurine and methotrexate
322,b-cell acute lymphoblastic leukemia,1552,1,"mercaptopurine, methotrexate, vincristine"
324,b-cell acute lymphoblastic leukemia,1554,1,"mercaptopurine, methotrexate, wb-xrt"
325,b-cell acute lymphoblastic leukemia,1556,1,methotrexate and pegaspargase
332,b-cell acute lymphoblastic leukemia,1790,1,ponatinib and blinatumomab
356,b-cell acute lymphoblastic leukemia pediatric,774,1,"cyclophosphamide, etoposide, methotrexate"
372,b-cell acute lymphoblastic leukemia pediatric,1074,1,"etoposide, ifosfamide, imatinib"
375,b-cell acute lymphoblastic leukemia pediatric,1428,1,"l-asparaginase, vincristine, prednisolone"
377,b-cell acute lymphoblastic leukemia pediatric,1546,1,mercaptopurine and methotrexate
379,b-cell acute lymphoblastic leukemia pediatric,1548,1,mercaptopurine and vincristine
380,b-cell acute lymphoblastic leukemia pediatric,1552,1,"mercaptopurine, methotrexate, vincristine"
381,b-cell acute lymphoblastic leukemia pediatric,1561,1,methotrexate and vincristine
393,bladder cancer,338,1,capecitabine and docetaxel (tx)
394,bladder cancer,391,1,carboplatin and gemcitabine (gcb)
395,bladder cancer,392,1,carboplatin and gemcitabine (gcb) and atezolizumab
396,bladder cancer,396,1,carboplatin and gemcitabine (gcb) and pembrolizumab
397,bladder cancer,415,1,carboplatin and paclitaxel (cp) and rt
399,bladder cancer,549,1,cisplatin and fluorouracil (cf) and rt
400,bladder cancer,556,1,cisplatin and gemcitabine (gc) and atezolizumab
401,bladder cancer,563,1,cisplatin and gemcitabine (gc) and pembrolizumab
402,bladder cancer,568,1,cisplatin and methotrexate
405,bladder cancer,944,1,docetaxel and ramucirumab
406,bladder cancer,988,1,durvalumab and tremelimumab
408,bladder cancer,1039,1,enfortumab vedotin and pembrolizumab
411,bladder cancer,1166,1,"fluorouracil, mitomycin, rt"
435,braf,828,1,dabrafenib and trametinib
439,breast cancer,33,1,abemaciclib and anastrozole
441,breast cancer,35,1,abemaciclib and fulvestrant
442,breast cancer,36,1,abemaciclib and letrozole
455,breast cancer,100,1,alpelisib and fulvestrant
457,breast cancer,111,1,anastrozole and fulvestrant
458,breast cancer,112,1,anastrozole and goserelin
459,breast cancer,113,1,anastrozole and palbociclib
460,breast cancer,114,1,anastrozole and ribociclib
461,breast cancer,115,1,anastrozole and trastuzumab
463,breast cancer,117,1,"anastrozole, goserelin, palbociclib"
464,breast cancer,118,1,"anastrozole, lapatinib, trastuzumab"
473,breast cancer,331,1,capecitabine and bevacizumab
474,breast cancer,338,1,capecitabine and docetaxel (tx)
475,breast cancer,340,1,capecitabine and fulvestrant
476,breast cancer,342,1,capecitabine and ixabepilone
477,breast cancer,343,1,capecitabine and lapatinib
478,breast cancer,344,1,capecitabine and margetuximab
479,breast cancer,346,1,capecitabine and neratinib
480,breast cancer,348,1,"capecitabine and paclitaxel, nanoparticle albumin-bound"
482,breast cancer,352,1,capecitabine and trastuzumab (xh)
483,breast cancer,353,1,capecitabine and trastuzumab (xh) and tucatinib
486,breast cancer,356,1,"capecitabine, bevacizumab, trastuzumab"
487,breast cancer,376,1,capivasertib and fulvestrant
488,breast cancer,383,1,carboplatin and docetaxel
489,breast cancer,384,1,carboplatin and etoposide (ce)
490,breast cancer,391,1,carboplatin and gemcitabine (gcb)
491,breast cancer,396,1,carboplatin and gemcitabine (gcb) and pembrolizumab
493,breast cancer,403,1,carboplatin and paclitaxel (cp) and bevacizumab
494,breast cancer,417,1,carboplatin and paclitaxel (cp) and trastuzumab
502,breast cancer,534,1,cisplatin and bevacizumab
503,breast cancer,543,1,cisplatin and fluorouracil (cf)
523,breast cancer,754,1,cyclophosphamide and epirubicin (ec) and bevacizumab
524,breast cancer,758,1,cyclophosphamide and methotrexate (cm)
551,breast cancer,935,1,docetaxel and bevacizumab
552,breast cancer,937,1,docetaxel and gemcitabine
553,breast cancer,947,1,docetaxel and trastuzumab (th) and pyrotinib
576,breast cancer,1053,1,epirubicin and vinorelbine (ve)
578,breast cancer,1057,1,eribulin and margetuximab
579,breast cancer,1058,1,eribulin and trastuzumab
582,breast cancer,1080,1,everolimus and exemestane
583,breast cancer,1084,1,everolimus and tamoxifen
585,breast cancer,1087,1,exemestane and palbociclib
586,breast cancer,1088,1,exemestane and trastuzumab
589,breast cancer,1091,1,"exemestane, lapatinib, trastuzumab"
605,breast cancer,1156,1,fluorouracil and methotrexate (mf)
611,breast cancer,1216,1,fulvestrant and palbociclib
612,breast cancer,1217,1,fulvestrant and ribociclib
614,breast cancer,1237,1,gemcitabine and bevacizumab
615,breast cancer,1239,1,gemcitabine and margetuximab
616,breast cancer,1247,1,gemcitabine and trastuzumab
619,breast cancer,1266,1,goserelin and letrozole
620,breast cancer,1268,1,goserelin and tamoxifen
622,breast cancer,1270,1,"goserelin, letrozole, ribociclib"
623,breast cancer,1271,1,"goserelin, ribociclib, tamoxifen"
627,breast cancer,1438,1,lapatinib and letrozole
628,breast cancer,1439,1,lapatinib and paclitaxel (tl)
629,breast cancer,1440,1,lapatinib and trastuzumab
631,breast cancer,1442,1,"lapatinib, letrozole, trastuzumab"
632,breast cancer,1460,1,letrozole and bevacizumab
633,breast cancer,1461,1,letrozole and palbociclib
634,breast cancer,1462,1,letrozole and ribociclib
635,breast cancer,1463,1,letrozole and trastuzumab
637,breast cancer,1465,1,letrozole-tamoxifen
643,breast cancer,1591,1,mitoxantrone and vinorelbine (mv)
652,breast cancer,1648,1,"neratinib and paclitaxel, then ac"
653,breast cancer,1649,1,"neratinib and paclitaxel, then ddac"
662,breast cancer,1710,1,paclitaxel and bevacizumab
663,breast cancer,1712,1,paclitaxel and pembrolizumab
664,breast cancer,1716,1,paclitaxel and vinorelbine
665,breast cancer,1717,1,"paclitaxel, nanoparticle albumin-bound and bevacizumab"
673,breast cancer,1759,1,pertuzumab and trastuzumab
690,breast cancer,1961,1,tamoxifen and trastuzumab
692,breast cancer,1963,1,tamoxifen-anastrozole
693,breast cancer,1964,1,tamoxifen-exemestane
694,breast cancer,1965,1,tamoxifen-letrozole
705,breast cancer,2017,1,toremifene and trastuzumab
717,breast cancer,2109,1,vinorelbine and bevacizumab
718,breast cancer,2110,1,vinorelbine and margetuximab
719,breast cancer,2111,1,vinorelbine and trastuzumab (vh)
720,breast cancer,2112,1,vinorelbine and trastuzumab (vh) and everolimus
724,burkitt lymphoma,338,1,capecitabine and docetaxel (tx)
740,carcinoma of unknown primary,338,1,capecitabine and docetaxel (tx)
741,carcinoma of unknown primary,383,1,carboplatin and docetaxel
742,carcinoma of unknown primary,391,1,carboplatin and gemcitabine (gcb)
743,carcinoma of unknown primary,395,1,carboplatin and gemcitabine (gcb) and paclitaxel
744,carcinoma of unknown primary,399,1,carboplatin and irinotecan
747,carcinoma of unknown primary,937,1,docetaxel and gemcitabine
748,carcinoma of unknown primary,1060,1,erlotinib and bevacizumab
749,carcinoma of unknown primary,1238,1,gemcitabine and irinotecan
762,cellular therapy conditioning regimens,543,1,cisplatin and fluorouracil (cf)
763,cellular therapy conditioning regimens,773,1,"cyclophosphamide, etoposide, fludarabine"
768,cervical cancer,338,1,capecitabine and docetaxel (tx)
769,cervical cancer,383,1,carboplatin and docetaxel
770,cervical cancer,384,1,carboplatin and etoposide (ce)
771,cervical cancer,391,1,carboplatin and gemcitabine (gcb)
772,cervical cancer,398,1,carboplatin and ifosfamide
773,cervical cancer,403,1,carboplatin and paclitaxel (cp) and bevacizumab
774,cervical cancer,413,1,carboplatin and paclitaxel (cp) and pembrolizumab
775,cervical cancer,419,1,"carboplatin and paclitaxel (cp), bevacizumab, pembrolizumab"
779,cervical cancer,545,1,"cisplatin and fluorouracil (cf) and hydroxyurea, rt"
780,cervical cancer,549,1,cisplatin and fluorouracil (cf) and rt
781,cervical cancer,564,1,cisplatin and gemcitabine (gc) and rt
782,cervical cancer,567,1,cisplatin and ifosfamide
783,cervical cancer,569,1,cisplatin and mitomycin
786,cervical cancer,592,1,"cisplatin, paclitaxel, atezolizumab, bevacizumab"
787,cervical cancer,593,1,"cisplatin, paclitaxel, bevacizumab"
788,cervical cancer,594,1,"cisplatin, paclitaxel, bevacizumab, pembrolizumab"
789,cervical cancer,597,1,"cisplatin, paclitaxel, pembrolizumab"
791,cervical cancer,1166,1,"fluorouracil, mitomycin, rt"
798,cervical cancer,1719,1,"paclitaxel, topotecan, bevacizumab"
804,chimeric antigen receptor t cells,543,1,cisplatin and fluorouracil (cf)
806,cholangiocarcinoma,341,1,capecitabine and gemcitabine
807,cholangiocarcinoma,345,1,capecitabine and mitomycin
811,cholangiocarcinoma,391,1,carboplatin and gemcitabine (gcb)
812,cholangiocarcinoma,559,1,cisplatin and gemcitabine (gc) and durvalumab
814,cholangiocarcinoma,563,1,cisplatin and gemcitabine (gc) and pembrolizumab
816,cholangiocarcinoma,1060,1,erlotinib and bevacizumab
823,cholangiocarcinoma,1240,1,gemcitabine and mitomycin
827,cholangiocarcinoma,1251,1,"gemcitabine, cisplatin, s-1"
828,cholangiocarcinoma,1253,1,gemcitabine/fluorouracil and rt
833,cholangiocarcinoma,1456,1,lenvatinib and pembrolizumab
838,chronic lymphocytic leukemia,58,1,acalabrutinib and obinutuzumab
841,chronic lymphocytic leukemia,96,1,alemtuzumab and rituximab
844,chronic lymphocytic leukemia,224,1,bendamustine and obinutuzumab
845,chronic lymphocytic leukemia,225,1,bendamustine and ofatumumab
846,chronic lymphocytic leukemia,226,1,bendamustine and rituximab (br)
847,chronic lymphocytic leukemia,227,1,bendamustine and rituximab (br) and ibrutinib
848,chronic lymphocytic leukemia,228,1,bendamustine and rituximab (br) and idelalisib
850,chronic lymphocytic leukemia,290,1,busulfan and fludarabine
852,chronic lymphocytic leukemia,380,1,carboplatin and cisplatin
854,chronic lymphocytic leukemia,504,1,chlorambucil and obinutuzumab (gclb)
855,chronic lymphocytic leukemia,505,1,chlorambucil and ofatumumab
857,chronic lymphocytic leukemia,508,1,chlorambucil and rituximab (rclb)
860,chronic lymphocytic leukemia,543,1,cisplatin and fluorouracil (cf)
870,chronic lymphocytic leukemia,1140,1,fludarabine and alemtuzumab
871,chronic lymphocytic leukemia,1141,1,fludarabine and ibrutinib
873,chronic lymphocytic leukemia,1145,1,fludarabine and rituximab (fr)
877,chronic lymphocytic leukemia,1248,1,gemcitabine and vinorelbine
879,chronic lymphocytic leukemia,1312,1,ibrutinib and obinutuzumab
880,chronic lymphocytic leukemia,1313,1,ibrutinib and ofatumumab
881,chronic lymphocytic leukemia,1314,1,ibrutinib and rituximab
882,chronic lymphocytic leukemia,1315,1,ibrutinib and ublituximab
883,chronic lymphocytic leukemia,1316,1,ibrutinib and venetoclax
885,chronic lymphocytic leukemia,1318,1,"ibrutinib, venetoclax, obinutuzumab"
886,chronic lymphocytic leukemia,1331,1,idelalisib and ofatumumab
887,chronic lymphocytic leukemia,1332,1,idelalisib and rituximab
890,chronic lymphocytic leukemia,1450,1,lenalidomide and ofatumumab
891,chronic lymphocytic leukemia,1452,1,lenalidomide and rituximab (r2)
907,chronic lymphocytic leukemia,2095,1,venetoclax and rituximab
909,chronic lymphocytic leukemia,2148,1,zanubrutinib and obinutuzumab
919,chronic myeloid leukemia,1299,1,hydroxyurea and plicamycin
923,chronic myeloid leukemia,1352,1,imatinib and peginterferon alfa-2a
934,chronic myeloid leukemia - historical,1299,1,hydroxyurea and plicamycin
939,chronic myelomonocytic leukemia,179,1,azacitidine and lenalidomide
940,chronic myelomonocytic leukemia,182,1,azacitidine and vorinostat
960,classical hodgkin lymphoma,222,1,bendamustine and brentuximab vedotin
963,classical hodgkin lymphoma,279,1,brentuximab vedotin and dacarbazine
964,classical hodgkin lymphoma,280,1,brentuximab vedotin and nivolumab
970,classical hodgkin lymphoma,384,1,carboplatin and etoposide (ce)
992,classical hodgkin lymphoma,1143,1,"fludarabine and melphalan, then allo hsct"
995,classical hodgkin lymphoma,1243,1,gemcitabine and rituximab
999,classical hodgkin lymphoma,1344,1,ifosfamide and vinorelbine
1020,classical hodgkin lymphoma,1914,1,sirolimus and vorinostat
1036,clear cell renal cell carcinoma,172,1,axitinib and avelumab
1037,clear cell renal cell carcinoma,173,1,axitinib and pembrolizumab
1038,clear cell renal cell carcinoma,175,1,axitinib and toripalimab
1041,clear cell renal cell carcinoma,236,1,bevacizumab and interferon alfa-2a
1043,clear cell renal cell carcinoma,313,1,cabozantinib and nivolumab
1045,clear cell renal cell carcinoma,315,1,"cabozantinib, ipilimumab, nivolumab"
1046,clear cell renal cell carcinoma,1060,1,erlotinib and bevacizumab
1047,clear cell renal cell carcinoma,1081,1,everolimus and lenvatinib
1049,clear cell renal cell carcinoma,1246,1,gemcitabine and sunitinib
1052,clear cell renal cell carcinoma,1384,1,ipilimumab and nivolumab
1053,clear cell renal cell carcinoma,1456,1,lenvatinib and pembrolizumab
1071,cns lymphoma,1342,1,ifosfamide and methotrexate
1072,cns lymphoma,1481,1,"lomustine, methotrexate, procarbazine"
1076,cns lymphoma,1558,1,methotrexate and rituximab
1093,cns melanoma,828,1,dabrafenib and trametinib
1096,cns melanoma,1384,1,ipilimumab and nivolumab
1098,cold agglutinin disease,226,1,bendamustine and rituximab (br)
1100,cold agglutinin disease,1145,1,fludarabine and rituximab (fr)
1118,colorectal cancer,69,1,adagrasib and cetuximab
1122,colorectal cancer,251,1,"binimetinib, encorafenib, cetuximab"
1123,colorectal cancer,331,1,capecitabine and bevacizumab
1124,colorectal cancer,342,1,capecitabine and ixabepilone
1132,colorectal cancer,830,1,"dabrafenib, trametinib, panitumumab"
1133,colorectal cancer,988,1,durvalumab and tremelimumab
1134,colorectal cancer,1038,1,encorafenib and cetuximab
1136,colorectal cancer,1153,1,fluorouracil and bevacizumab
1137,colorectal cancer,1156,1,fluorouracil and methotrexate (mf)
1138,colorectal cancer,1157,1,fluorouracil and mitomycin
1166,colorectal cancer,1384,1,ipilimumab and nivolumab
1167,colorectal cancer,1393,1,irinotecan and cetuximab
1169,colorectal cancer,1399,1,"irinotecan, vemurafenib, cetuximab"
1173,colorectal cancer,1440,1,lapatinib and trastuzumab
1180,colorectal cancer,1759,1,pertuzumab and trastuzumab
1184,colorectal cancer,1924,1,sotorasib and panitumumab
1191,colorectal cancer,2041,1,tucatinib and trastuzumab
1192,craniopharyngioma,650,1,cobimetinib and vemurafenib
1193,cutaneous basal cell carcinoma,255,1,bleomycin and cisplatin
1194,cutaneous basal cell carcinoma,338,1,capecitabine and docetaxel (tx)
1198,cutaneous squamous cell carcinoma,255,1,bleomycin and cisplatin
1199,cutaneous squamous cell carcinoma,338,1,capecitabine and docetaxel (tx)
1202,cutaneous squamous cell carcinoma,589,1,"cisplatin, interferon alfa-2a, isotretinoin"
1207,cutaneous t-cell lymphoma,240,1,bexarotene and pralatrexate
1210,cutaneous t-cell lymphoma,290,1,busulfan and fludarabine
1211,cutaneous t-cell lymphoma,297,1,"busulfan, fludarabine, thiotepa, then allo hsct"
1213,cutaneous t-cell lymphoma,1143,1,"fludarabine and melphalan, then allo hsct"
1239,diffuse large b-cell lymphoma,226,1,bendamustine and rituximab (br)
1240,diffuse large b-cell lymphoma,229,1,bendamustine and rituximab (br) and polatuzumab vedotin
1246,diffuse large b-cell lymphoma,295,1,"busulfan, fludarabine, ibritumomab tiuxetan, then allo hsct"
1279,diffuse large b-cell lymphoma,1075,1,"etoposide, ifosfamide, methotrexate"
1280,diffuse large b-cell lymphoma,1083,1,everolimus and rituximab
1284,diffuse large b-cell lymphoma,1150,1,"fludarabine, busulfan, cyclophosphamide, then allo hsct"
1286,diffuse large b-cell lymphoma,1243,1,gemcitabine and rituximab
1296,diffuse large b-cell lymphoma,1452,1,lenalidomide and rituximab (r2)
1297,diffuse large b-cell lymphoma,1453,1,lenalidomide and tafasitamab
1315,diffuse large b-cell lymphoma,1725,1,panobinostat and rituximab
1371,endometrial cancer,338,1,capecitabine and docetaxel (tx)
1372,endometrial cancer,406,1,carboplatin and paclitaxel (cp) and dostarlimab
1373,endometrial cancer,407,1,carboplatin and paclitaxel (cp) and durvalumab
1374,endometrial cancer,413,1,carboplatin and paclitaxel (cp) and pembrolizumab
1375,endometrial cancer,417,1,carboplatin and paclitaxel (cp) and trastuzumab
1376,endometrial cancer,420,1,"carboplatin and paclitaxel (cp), olaparib, durvalumab"
1379,endometrial cancer,567,1,cisplatin and ifosfamide
1385,endometrial cancer,1343,1,ifosfamide and paclitaxel
1387,endometrial cancer,1456,1,lenvatinib and pembrolizumab
1388,endometrial cancer,1531,1,medroxyprogesterone acetate and tamoxifen
1390,endometrial cancer,1534,1,megestrol and tamoxifen
1398,erbb2,1759,1,pertuzumab and trastuzumab
1405,esophageal adenocarcinoma,332,1,capecitabine and cisplatin (cx)
1406,esophageal adenocarcinoma,333,1,capecitabine and cisplatin (cx) and cetuximab
1407,esophageal adenocarcinoma,338,1,capecitabine and docetaxel (tx)
1408,esophageal adenocarcinoma,342,1,capecitabine and ixabepilone
1411,esophageal adenocarcinoma,399,1,carboplatin and irinotecan
1412,esophageal adenocarcinoma,415,1,carboplatin and paclitaxel (cp) and rt
1413,esophageal adenocarcinoma,426,1,"carboplatin, etoposide, rt"
1415,esophageal adenocarcinoma,543,1,cisplatin and fluorouracil (cf)
1416,esophageal adenocarcinoma,549,1,cisplatin and fluorouracil (cf) and rt
1417,esophageal adenocarcinoma,590,1,"cisplatin, irinotecan, rt"
1425,esophageal adenocarcinoma,1168,1,"fluorouracil, paclitaxel, rt"
1428,esophageal adenocarcinoma,1394,1,irinotecan and mitomycin
1433,esophageal adenocarcinoma,1713,1,paclitaxel and ramucirumab
1435,esophageal cancer,332,1,capecitabine and cisplatin (cx)
1436,esophageal cancer,338,1,capecitabine and docetaxel (tx)
1437,esophageal cancer,342,1,capecitabine and ixabepilone
1438,esophageal cancer,357,1,"capecitabine, carboplatin, paclitaxel, rt"
1439,esophageal cancer,358,1,"capecitabine, cisplatin, rt"
1440,esophageal cancer,359,1,"capecitabine, docetaxel, oxaliplatin, rt"
1441,esophageal cancer,360,1,"capecitabine, docetaxel, rt"
1442,esophageal cancer,362,1,"capecitabine, oxaliplatin, rt"
1443,esophageal cancer,363,1,"capecitabine, paclitaxel, rt"
1444,esophageal cancer,399,1,carboplatin and irinotecan
1445,esophageal cancer,415,1,carboplatin and paclitaxel (cp) and rt
1446,esophageal cancer,430,1,"carboplatin, fluorouracil, rt"
1447,esophageal cancer,543,1,cisplatin and fluorouracil (cf)
1448,esophageal cancer,548,1,cisplatin and fluorouracil (cf) and pembrolizumab
1449,esophageal cancer,549,1,cisplatin and fluorouracil (cf) and rt
1450,esophageal cancer,584,1,"cisplatin, docetaxel, rt"
1451,esophageal cancer,590,1,"cisplatin, irinotecan, rt"
1452,esophageal cancer,612,1,"cisplatin, vinorelbine, rt"
1453,esophageal cancer,938,1,docetaxel and irinotecan
1454,esophageal cancer,954,1,"docetaxel, fluorouracil, rt"
1462,esophageal cancer,1167,1,"fluorouracil, oxaliplatin, rt"
1475,esophageal squamous cell carcinoma,332,1,capecitabine and cisplatin (cx)
1476,esophageal squamous cell carcinoma,335,1,capecitabine and cisplatin (cx) and tislelizumab
1477,esophageal squamous cell carcinoma,338,1,capecitabine and docetaxel (tx)
1478,esophageal squamous cell carcinoma,347,1,capecitabine and oxaliplatin (capeox) and tislelizumab
1480,esophageal squamous cell carcinoma,384,1,carboplatin and etoposide (ce)
1481,esophageal squamous cell carcinoma,415,1,carboplatin and paclitaxel (cp) and rt
1482,esophageal squamous cell carcinoma,543,1,cisplatin and fluorouracil (cf)
1483,esophageal squamous cell carcinoma,544,1,cisplatin and fluorouracil (cf) and cetuximab
1484,esophageal squamous cell carcinoma,546,1,cisplatin and fluorouracil (cf) and nivolumab
1485,esophageal squamous cell carcinoma,548,1,cisplatin and fluorouracil (cf) and pembrolizumab
1486,esophageal squamous cell carcinoma,549,1,cisplatin and fluorouracil (cf) and rt
1488,esophageal squamous cell carcinoma,551,1,cisplatin and fluorouracil (cf) and sugemalimab
1489,esophageal squamous cell carcinoma,552,1,cisplatin and fluorouracil (cf) and tislelizumab
1490,esophageal squamous cell carcinoma,584,1,"cisplatin, docetaxel, rt"
1491,esophageal squamous cell carcinoma,595,1,"cisplatin, paclitaxel, camrelizumab"
1492,esophageal squamous cell carcinoma,597,1,"cisplatin, paclitaxel, pembrolizumab"
1493,esophageal squamous cell carcinoma,598,1,"cisplatin, paclitaxel, sintilimab"
1494,esophageal squamous cell carcinoma,599,1,"cisplatin, paclitaxel, tislelizumab"
1495,esophageal squamous cell carcinoma,600,1,"cisplatin, paclitaxel, toripalimab"
1496,esophageal squamous cell carcinoma,612,1,"cisplatin, vinorelbine, rt"
1498,esophageal squamous cell carcinoma,1158,1,fluorouracil and oxaliplatin (fuox) and tislelizumab
1499,esophageal squamous cell carcinoma,1159,1,fluorouracil and paclitaxel
1500,esophageal squamous cell carcinoma,1166,1,"fluorouracil, mitomycin, rt"
1501,esophageal squamous cell carcinoma,1167,1,"fluorouracil, oxaliplatin, rt"
1502,esophageal squamous cell carcinoma,1168,1,"fluorouracil, paclitaxel, rt"
1504,esophageal squamous cell carcinoma,1384,1,ipilimumab and nivolumab
1508,esophageal squamous cell carcinoma,1701,1,oxaliplatin and paclitaxel
1509,esophageal squamous cell carcinoma,1704,1,"oxaliplatin, paclitaxel, tislelizumab"
1520,ewing sarcoma,291,1,busulfan and melphalan
1521,ewing sarcoma,762,1,cyclophosphamide and topotecan
1522,ewing sarcoma,937,1,docetaxel and gemcitabine
1525,ewing sarcoma,1395,1,irinotecan and temozolomide
1539,extranodal nk- and t-cell lymphoma nasal type,1428,1,"l-asparaginase, vincristine, prednisolone"
1547,follicular lymphoma,224,1,bendamustine and obinutuzumab
1548,follicular lymphoma,225,1,bendamustine and ofatumumab
1549,follicular lymphoma,226,1,bendamustine and rituximab (br)
1551,follicular lymphoma,237,1,bevacizumab and rituximab
1552,follicular lymphoma,273,1,bortezomib and rituximab (vr)
1561,follicular lymphoma,543,1,cisplatin and fluorouracil (cf)
1563,follicular lymphoma,717,1,copanlisib and rituximab
1572,follicular lymphoma,1145,1,fludarabine and rituximab (fr)
1585,follicular lymphoma,1452,1,lenalidomide and rituximab (r2)
1588,follicular lymphoma,1481,1,"lomustine, methotrexate, procarbazine"
1612,follicular lymphoma,2132,1,vorinostat and rituximab
1616,follicular lymphoma,2148,1,zanubrutinib and obinutuzumab
1617,gallbladder cancer,341,1,capecitabine and gemcitabine
1618,gallbladder cancer,342,1,capecitabine and ixabepilone
1619,gallbladder cancer,345,1,capecitabine and mitomycin
1623,gallbladder cancer,391,1,carboplatin and gemcitabine (gcb)
1626,gallbladder cancer,1060,1,erlotinib and bevacizumab
1631,gallbladder cancer,1240,1,gemcitabine and mitomycin
1634,gallbladder cancer,1251,1,"gemcitabine, cisplatin, s-1"
1641,gastric cancer,332,1,capecitabine and cisplatin (cx)
1642,gastric cancer,334,1,capecitabine and cisplatin (cx) and pembrolizumab
1643,gastric cancer,336,1,capecitabine and cisplatin (cx) and trastuzumab
1644,gastric cancer,337,1,"capecitabine and cisplatin (cx), pertuzumab, trastuzumab"
1645,gastric cancer,338,1,capecitabine and docetaxel (tx)
1646,gastric cancer,347,1,capecitabine and oxaliplatin (capeox) and tislelizumab
1652,gastric cancer,373,1,"capeox, pembrolizumab, trastuzumab"
1653,gastric cancer,383,1,carboplatin and docetaxel
1654,gastric cancer,543,1,cisplatin and fluorouracil (cf)
1655,gastric cancer,548,1,cisplatin and fluorouracil (cf) and pembrolizumab
1656,gastric cancer,552,1,cisplatin and fluorouracil (cf) and tislelizumab
1657,gastric cancer,553,1,cisplatin and fluorouracil (cf) and trastuzumab
1658,gastric cancer,555,1,"cisplatin and fluorouracil (cf), pembrolizumab, trastuzumab"
1676,gastric cancer,1157,1,fluorouracil and mitomycin
1679,gastric cancer,1164,1,"fluorouracil, folinic acid, mitomycin"
1685,gastric cancer,1394,1,irinotecan and mitomycin
